03:10:11.379 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: Luce2_Giardino - value: 2 - Slot 5]
03:10:11.380 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 250 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT11@1daef2a]
03:10:11.383 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: SwitchPortoncino - Typ: 11, Node: 1, Slot: 6
03:10:11.385 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: SwitchPortoncino - value: 1 - Slot 6]
03:10:11.387 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 160 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT11@138ddcc]
03:10:11.389 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: SwitchCancello - Typ: 11, Node: 1, Slot: 7
03:10:11.391 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: SwitchCancello - value: 1 - Slot 7]
03:10:11.394 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 170 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT11@15274a0]
03:10:11.397 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: Temperature_Boiler_Solare_Termico - Typ: 52, Node: 3, Slot: 0
03:10:11.399 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: Temperature_Boiler_Solare_Termico - value: 3 - Slot 0]
03:10:11.402 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 300 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT52@1891645]
03:10:11.404 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: Temperature_Termocamino - Typ: 52, Node: 3, Slot: 2
03:10:11.406 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: Temperature_Termocamino - value: 3 - Slot 2]
03:10:11.408 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 320 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT52@1b20721]
03:10:11.410 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: SwitchTermocamino - Typ: 11, Node: 3, Slot: 4
03:10:11.412 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: SwitchTermocamino - value: 3 - Slot 4]
03:10:11.415 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 340 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT11@7172a6]
03:10:11.419 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: Boiler_TC_Automode - Typ: 11, Node: 3, Slot: 6
03:10:11.421 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: Boiler_TC_Automode - value: 3 - Slot 6]
03:10:11.423 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 360 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT11@e2ed3c]
03:10:11.428 INFO  o.o.b.s.i.n.t.TypicalFactory[:165]- Add parameter to T31/T12 : setasmeasured
03:10:11.430 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: setasmeasured - Typ: 31, Node: 3, Slot: 7
03:10:11.432 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: setasmeasured - value: 3 - Slot 7]
03:10:11.434 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 370 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT31@1fef89b]
03:10:11.437 INFO  o.o.b.s.i.n.t.TypicalFactory[:165]- Add parameter to T31/T12 : setpoint
03:10:11.439 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: Temperature_Termocamino_SetPoint - Typ: 31, Node: 3, Slot: 7
03:10:11.441 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: Temperature_Termocamino_SetPoint - value: 3 - Slot 7]
03:10:11.443 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 370 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT31@1fef89b]
03:10:11.445 INFO  o.o.b.s.i.n.t.TypicalFactory[:165]- Add parameter to T31/T12 : heating
03:10:11.448 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: riscaldamento_tutto - Typ: 31, Node: 3, Slot: 7
03:10:11.450 INFO  o.o.b.s.i.n.t.SoulissTypicals[:55]- hashTableItemToAddress <-- [key: riscaldamento_tutto - value: 3 - Slot 7]
03:10:11.453 INFO  o.o.b.s.i.n.t.SoulissTypicals[:61]- hashTableAddressToTypicals <-- [key: 370 - value: org.openhab.binding.souliss.internal.network.typicals.SoulissT31@1fef89b]
03:10:11.456 INFO  o.o.b.s.i.n.t.TypicalFactory[:165]- Add parameter to T31/T12 : measured
03:10:11.458 INFO  o.o.b.s.i.n.t.SoulissTypicals[:51]- Add Item: Temperature_Termostato - Typ: 31, Node: 6, Slot: 0
